Table 1
,BIGFOOT TYPE ANIMATIONS,,,,,,,,,,,,
,Background screen home field,Main background,Feature animation,Background animation,,,,,,,,,
,Complete hero shot shows special attack,Overrides background to show animated special attack,,,,,,,,,,,
,,,,,,,,,,,,,
,Head shot shows reactions to game events,stern,happy,shocked,in pain,distressed,angry,howl,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Game hero 3 quarter face right - flip for enemy,,,,,,,,,,,,
,Start / end loops,Fight stance,Victory,Defeat,Knocked Out,Woozy Bigfoot,,,,,,,
,,,,,,,,,,,,,
,Reactions,Small hit,Big hit,Block,Descend,Fall down,,,,,,,
,Movement,Move forward,Move backward,Lunge forward,Lunge back,Howl,,,,,,,
,Attacks,Punch / club,Throw / arrow,Glimmer / special attack,Wrestle-charge / loot,,,,,,,,
attack steps,1,approach,wind up,wind up,approach,,,,,,,,
,2,wind up,swing,swing,swing,,,,,,,,
,3,swing,approach,,,,,days,1 bigfoot has,,,,
,4,hit or miss,hit or miss,hit or miss,hit or miss,,,1,1 background,,,,
,5,retreat,,,retreat,,,1,1 hero animation,,,,
,,,,,,,,1,6 facial animations,,,,
,Cards,Clubs,Spades,Hearts,Diamonds,,,1,4 attack animations,,16,,
,,,,,,,,1,5 standing animations,,,,
,,,,,,,,1,5 reaction animations,,,1560,24
,,,,,,,,1,small / medium large missle,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sounds,,,,,,,,,,,,
,,,,,,,,,,,,,
,Voice,,,,,,,,,,,,
,,,,,,,,,,,,,
,Effects,,,,,,,,,,,,
,,,,,,,,,,,,,
,Menus,,,,,,,,,,,,
,,,,,,,,,,,,,
,Music,,,,,,,,,,,,
