Table 1
Dwarf timer,3,Sasquatch,Agogwe,Hibagon,Almas,Orang Gadang,Dzu-Teh,Aigypan,Yeti,Jugli Admi,Skunk Ape,,,,,,,,,,
Squatch timer,5,Pacific Northwest,East Africa ,Japan,Russia East Asia,Sumatra,Himalayas,Amazon,Mt Everest,India,Florida,,,,,,,,,,
Giant timer,7,Bigfoot,Dwarf,Dwarf,Bigfoot,Giant,Giant,Bigfoot,Bigfoot,Dwarf,Bigfoot,,,,,,,,,,
,Field of battle,Deep forest,Jungle oceanside,Radioactive Mount Hiba ,Volcano caldera,Underground lava cave,Mountains,Amazon riverside,Icy moutaintop,Mountain forest,Swamp,,,,,,,,,,
,,Earth - air,Fire - water,Fire - earth,Fire - Air,Fire - water,Air - earth,Water - earth,Water - air,Air - earth,Water - Fire,,,,,,,,,,
,Advantage,Loot - Throw,Punch - Special,Punch - Loot,Punch - Throw,Punch - Special,Throw - Loot,Special - Loot,Special - throw,Throw - loot,Special - Punch,,,,,,,,,,
,Disadvantage,Special - Punch,Throw - Loot,Throw - Special,Loot - Special,Throw - Loot,Punch - Special,Punch - Throw,Loot - punch,Punch - Special,Loot - throw,,,,,,,,,,
,Health,75,50,50,75,100,100,75,75,50,75,,,,,,,,,,
,Mana,,,,,,,,,,,,,,,,,,,,
,Throw air,,,,,,,,,,,,,,,,,,,,
Hit,,Roll 1-4 1d6 to hit,Roll 1-3 1d10 to hit,Roll 1-3 1d10 to hit,Roll 1-7 1d10 to hit,Roll 1-3 1d10 to hit,Roll 1-5 1d6 to hit,,,,,,,,,,,,,,
Block,,Roll 1-5 1d6 to block,Roll 1-5 1d10 to block,Roll 1-5 1d10 to block,Roll 1-5 1d6 to block,Roll 1-5 1d10 to block,Roll 1-5 1d10 to block,Roll 1-3 1d10 to hit,Roll 1-5 1d10 to block,Roll 1-5 1d10 to block,Roll 1-3 1d10 to hit,,,,,,,,,,
Take,,x2 on take,,,x2 on take,,x3 on take,,x2 on take,x3 on take,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 Gold 1,Ace of Spades,14,,,,,,,,,,,,,,,,,,,
2,Two of Spades,15,,,,,,,,,,,,,,,,,,,
3,Three of Spades,16,,,,,,,,,,,,,,,,,,,
4,Four of Spades,17,,,,,,,,,,,,,,,,,,,
5,Five of Spades,18,,,,,,,,,,,,,,,,,,,
6,Six of Spades,19,,,,,,,,,,,,,,,,,,,
7,Seven of Spades,20,,,,,,,,,,,,,,,,,,,
8,Eight of Spades,21,,,,,,,,,,,,,,,,,,,
9,Nine of Spades,22,,,,,,,,,,,,,,,,,,,
10,Ten of Spades,23,,,,,,,,,,,,,,,,,,,
11,Jack of Spades,24,,,,,,,,,,,,,,,,,,,
12,Queen of Spades,25,,,,,,,,,,,,,,,,,,,
13,King of Spades,26,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Punch fire,,,,,,,,,,,,,,,,,,,,
Hit,,Roll 6 1d6 to hit,Roll 2-6 1d6 to hit,Roll 2-6 1d6 to hit,Roll 1-5 1d6 to hit,,,,,,,,,,,,,,,,
Hit back,,Roll 1 1d6 to hit back,,,Roll 1-5 1d6 to block,,,,,,,,,,,,,,,,
Take,,,x3 on take,x3 on take,x3 on take,x3 on take,,,,,x2 on take,,,,,,,,,,
Damage,,,,,,,,,,,,,,,,,,,,,
Gold  2,Ace of Clubs,KO punch - 20 D,KO punch - 25 D,KO punch - 25 D,KO punch - 30 D,KO punch - 35 D,KO punch - 20 D,KO punch - 20 D,KO punch - 20 D,KO punch - 15 D,KO punch - 25 D,,,,,,,,,,
4,Two of Clubs,L UPPERCUT,,,,,,,,,,,,,,,,,,,
6,Three of Clubs,R UPPERCUT,,,,,,,,,,,,,,,,,,,
8,Four of Clubs,L BODYBLOW,,,,  ,,,,,,,,,,,,,,,
10,Five of Clubs,R BODYBLOW,,,,,,,,,,,,,,,,,,,
12,Six of Clubs,L HEAD WALLOP,,,,,,,,,,,,,,,,,,,
14,Seven of Clubs,R HEAD WALLOP,,,,,,,,,,,,,,,,,,,
16,Eight of Clubs,L KICK,,, ,,,,,,,,,,,,,,,,
18,Nine of Clubs,R KICK,,,,,,,,,,,,,,,,,,,
20,Ten of Clubs,L BODY JAB,,,,,,,,,,,,,,,,,,,
22,Jack of Clubs,R BODY JAB,,,,,,,,,,,,,,,,,,,
24,Queen of Clubs,L HEAD JAB,,,,,,,,,,,,,,,,,,,
26,King of Clubs,R HEAD JAB,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Loot earth,Take gold x face value,Take gold x face value,Take gold x face value,Take gold x face value,Take gold x face value,Take gold x face value,Take gold x face value,Take gold x face value,Take gold x face value,Take gold x face value,,,,,,,,,,
No attacks only win gold or bet on the next hand,,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,Or bet on next hand and return cards to their decks,,,,,,,,,,
Take,,x10 on take,x2 on take,x7 on take,x3 on take,x2 on take,x7 on take,x7 on take,x3 on take,x7 on take,x3 on take,,,,,,,,,,
Gold 5,Ace of Diamonds,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,Jackpot,,,,,,,,,,
10,Two of Diamonds,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,Bet 2x the winning card face value of the next play,,,,,,,,,,
15,Three of Diamonds,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,Bet 3x the winning card face value of the next play,,,,,,,,,,
20,Four of Diamonds,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,Bet 4x the winning card face value of the next play,,,,,,,,,,
25,Five of Diamonds,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,Bet 5x the winning card face value of the next play,,,,,,,,,,
