Table 1
x,Agogwe,Dwarf,"Tanzania,  East Africa,  Zimbabwe, Zaire, and Congo",Forests and jungle,Also known as the Kakundakari or Kilomba 
,Argopelter,Dwarf,Oregon,Woods,"inhabit hollow trees of the conifer woods from Maine to Oregon. It doesn't like anything crossing its path or coming into its territory. If they come close enough, it will hurl wood splinters and branches at the intruder. Some have described the creature as a hairy humanoid similar to Sasquatch,  but slightly smaller.
They are so accurate in their assault, that there has only been one reported survivor of an Argopelter attack . He said that the only reason he survived was because the branch was rotten, and shattered on his head. As it ran off, he managed to turn around and get a good look at it. He described it as having a ""slender, wiry body, the villainous face of an ape, and arms like muscular whiplashes, with which it can snap off dead branches and hurl them through the air like shells from a six inch gun."" The Argopelter subsists on woodpeckers, hoot owls, and dozy (rotten) wood. Its pups are always born on February 29 and always arrive in odd numbers.  They'll use anything as ammunition, Branches, Acorns, Pinecones, Fruit, and even things like Birds Nests."
,Barbegazi,Dwarf,Swiss French Alps,networks of caves and tunnels accessible near the peaks of mountains through concealed entrances,"A barbegazi stands more than 1 feet tall and weighs about 5 pounds. resembled the typical gnome except for their large feet and the fact that their hair and beards resembled thick growths of icicles. They thrived only in the coldest of weather provided by these mountain tops, hibernating in Summer and becoming active in Winter; blizzard season. No sightings have been recorded when the temperature was above zero. Nor have any sightings taken place below to tree line.  skills as swift digging. A barbegazi can bury themselves in thick snow in a few seconds or dig themselves out no matter the depth. A trait that has caused many to believe that they enjoy riding avalanches. Their big feet has also been seen to act as skis or snowshoes, allowing unhindered travel. wearing garments of white fur like a modern jumpsuit.  They can make whistling noises such as marmots or an eerie hooting noise, which may be mistaken for gusts of wind"
x,Didi,Dwarf,Guyana,Volcano mountain side,5 foot big monkey king monkey mono rei uses clubs short black hair 
x,Fating'ho,Dwarf,Senegal,Cave tunnels,"Long arms, rust colored / black wooly hair, yellowish skin, rounded forehead, 2-5 feet tall, no weapons"
x,Hibagon,Dwarf,Japan,Hiroshima,"five foot big feet Hibagon or Hinagon is a Japanese version of North America's Bigfoot. Said to live on Mount Hiba of the Hiroshima Prefecture, not much is known about the Hibagon but some say that it is a quiet beast that is said to run from four armed residents then hunt them. Like all hominids they have a unique stench that is said to smell like decomposing flesh. Hibagon is much smaller than its North American counterpart, being most commonly reported as around 5 feet in height and estimated as weighing about 180 pounds. In many respects, the Hibagon is more ape-like than the Sasquatch as well. It is often described as looking like a gorilla or giant monkey, and although it is most often seen moving bipedally, many reports tell of the creature moving about on all fours quite easily. Some eyewitnesses even claim the animal was hopping along “like a monkey.” Other notable features are the Hibagon’s apparent lack of fear of people and the absence of any sort of vocalizations in the reports.

Hibagon is a reddish brown or black in color, sometimes reported as having a patch of white fur on its chest or arms, It said to be a foul smelling creature, with a face covered in bristles, a snub nose, and glaring, intelligent eyes, the face is sometimes said to be long and somewhat protruding rather than flat like a human’s, and the head is often reported as proportionately large, and shaped somewhat like an inverted triangle."
x,Ine Weu,Dwarf,Indonesia,Jungle caves,"It is already known that there are many report of small humanoid creature reported from the island of Indonesia. Maybe the most famous is Sumatran Uhang Pandak and Flores Ebu Gogo. In Flores, the name Ebu Gogo actually refers to short humanoid by the people of Bajawa area. Other than that small humanoid beings of Flores also known as Ine Weu and Poti Wolo, which means “Ape Demon”.  Ine Weu and Poti Wolo`s description is similar to Ebu Gogo of Bajawa people stories; with hairy body, long downward earlobe and long breasts. They are reported to be around 1 m in height. One unique feature that they are said to be pig-snouted. Superstitious local people thought that the two creatures are supernatural beings, able to change its looks to other different forms. "
,Jungli Admi,Dwarf,India,Cliff mountains hills valleys,Radioactive
,Junjudee ,Dwarf,Australia,Cave,"The Junjudee is a type of Bigfoot from Australia. They are hairy humanoid creatures that are 2-3 feet tall, have black fur and are said to have large white fangs and red eyes. They live in groups where they live in caves or natural hollows of boulders. They are generally thought of as harmless, though they can be aggressive. Junjudees eat shellfish and honey and have sort of a chirping language. "
,,,,,
