Table 1
,,,,,Asia ,Steppe valley
,Desert mountain,,,,Brazil,Forest clearing
,Desert oasis,,,,Croatia,Farmlands
,Desert plain,,,,Guyana,Volcano mountain side
,Forest,,,,India,Forest 
,Forest deep,,,,New Zealand,Forest
,Forest mountain,,,,Nicaragua,Mountain side
,Grassy plain,,,,Peru,Mountain top
,Icy lake,,,,Philippines,Mountain cave
,Icy ocean,,,,Senegal,Cave tunnels
,Icy river,,,,South Africa,Abandoned mine
,Jungle,,,,Sumatra,Underground waterfall
,Jungle plain,,,,Zaire,Underground lair
,Jungle waterfall,,,,Japan,Cliff side
,North pole,,,,Alaska,Icy lake
,Riverside,,,,Australia,Desert plain
,Ruins,,,,China,Jungle mountain
,Snowy plain,,,,China,Jungle
,Snowy mountain,,,,China,Jungle plain
,South pole,,Cave tunnels,,Denmark,Snowy plain
,Steppe mountains,,Underground lava,,US and Canadian Pacific Northwest,Forest mountain
,Steppe plains,,Volcano caldera,,Himalayas,Snowy mountain
,Steppe valley,,Volcano mountain side,,India,Jungle waterfall
,Suburbs,,Volcanic plain,,"US Nevada desert, Idaho",High desert
,Tropical island,,Desert,,South America ,Jungle river side
,Underground cave,,High desert,,Sumatra,Underground lava
,Underground creekside,,Desert cliffs,,North America,Valley
,Underground lava,,Desert mesa,,"Argentina, Chile",Jungle mountain
,Underground riverside,,Desert canyons,,Australia,Underground riverside
,Underground ruins,,Desert oasis,,"Belize, Guatamala",Volcano
,Valley,,Desert cave,,"Borneo, Laos, Vietnam",Ocean side tropical
,Volcano,,Cave tunnels,,Brazil,Ocean side cave
,Cliff side,,Underground ruins,,Area 51,
,Mountain side,,Underground lair,,Outer space,
,Mountain side cave,,Area 51,,Chile,Cliff side
,Cliff side cave,,Casino / Indian / Alien tunnels,,China,Mountain side
,Outer space,,Las Vegas outskirts,,"Columbia, Venezuela",Jungle
,Underground city,,Las Vegas casino,,Himalayas,Mountain side cave
,Underground caves,,Las Vegas hotel top,,Iran,Underground city
,Suburbs,,Outer space,,Kazakhstan,Underground ruins
,High desert,,Ocean side,,Kenya plains,Grassy plain
,Hills,,Outback,,Malaysia,Farmlands
,Mounds,,Tropical island,,Mexico,Pyramids
,Pyramids,,Island temple,,Nepal,Mountain side
,Temples,,Island pyramid,,Scotland,Riverside
,Power Plants,,Ancient city,,Sudan,Desert oasis
,Area 51,,Celtic country side,,"Russia, Mongolia",Steppes
,,,Stonehendge,,Siberia,Icy mountains
,Country side,,Castle ruins,,US Florida,Swamp
,City outskirts,,Deep forest,,West Africa,Grassy plain
,Ancient city,,Forest lair,,Zaire,African jungle
,,,,,Pakistan,Underground temple
,,,,,"Croatia, Finland ",Forest Mountain
,,,,,Tanzania,Desert plain
,,,,,Pacific Northwest,Creek bed
,,,,,Northeast US,Woods
,,,,,,
,,,,,,
,,,Area 51,,,
,,,Outer space,,,
,,,Las Vegas outskirts,,,
,,,Las Vegas casino,,,
,,,Las Vegas hotel top,,,
,,,Casino / Indian / Alien tunnels,,,
