Table 1
1,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,,
10,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,,
11,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,,
12,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,,
13,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,,
14,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,,
15,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,,
16,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,,
17,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,,
18,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,,
19,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,,
20,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,,
21,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,,
22,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,,
23,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,,
24,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,,
25,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,,
26,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,,
27,Mande Burung,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,,
28,Hibagon,Mande Burung,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,,
29,Momo,Hibagon,Mande Burung,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,,
30,Nyalmo,Momo,Hibagon,Mande Burung,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,,
31,Orang Pendek,Nyalmo,Momo,Hibagon,Mande Burung,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,,
32,Arulataq,Orang Pendek,Nyalmo,Momo,Hibagon,Mande Burung,Gugwe,Yeren,Orang Mawas,Ine Weu,Germakochi,Big Grey Man,Yowie,Dzu-Teh,Didi,Batutut,Almas,Tano,Skunk Ape,Fating'ho,Sisemite,Afonya,Genoskwa,Mogollon Monster,Teh-Ima,Nuk-Luk,Bukwus,Moehau ,Grassman,Agogwe,Kapre,Sasquatch,
